id,account_number_masked,owner_person_id,bank_name,data_source,created_at
AC000268,XXXX2030,P000292,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202841Z
AC000269,XXXX2851,P000293,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202846Z
AC000270,XXXX1102,P000299,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.202851Z
AC000271,XXXX3389,P000306,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202859Z
AC000272,XXXX4436,P000312,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202868Z
AC000273,XXXX5471,P000313,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202873Z
AC000274,XXXX3967,P000315,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202878Z
AC000275,XXXX6530,P000316,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202883Z
AC000276,XXXX1674,P000330,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202892Z
AC000277,XXXX7080,P000331,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202897Z
AC000278,XXXX3314,P000332,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202904Z
AC000279,XXXX2516,P000336,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202912Z
AC000280,XXXX8885,P000345,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202918Z
AC000281,XXXX3653,P000347,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202923Z
AC000282,XXXX6789,P000358,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.202929Z
AC000283,XXXX9313,P000361,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.202934Z
AC000284,XXXX8815,P000362,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202938Z
AC000285,XXXX6055,P000363,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202941Z
AC000286,XXXX8302,P000365,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202946Z
AC000287,XXXX1101,P000366,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.202950Z
AC000288,XXXX4401,P000367,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202954Z
AC000289,XXXX5390,P000369,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.202958Z
AC000290,XXXX1905,P000371,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.202962Z
AC000291,XXXX9304,P000372,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.202966Z
AC000292,XXXX3924,P000380,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.202972Z
AC000293,XXXX2548,P000381,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202978Z
AC000294,XXXX9189,P000383,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202982Z
AC000295,XXXX7293,P000388,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202988Z
AC000296,XXXX7715,P000392,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.202993Z
AC000297,XXXX2279,P000393,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.202997Z
AC000298,XXXX4740,P000399,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.203004Z
AC000299,XXXX3473,P000400,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.203009Z
AC000300,XXXX2608,P000402,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203013Z
AC000301,XXXX3466,P000403,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.203017Z
AC000302,XXXX1755,P000408,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.203022Z
AC000303,XXXX5004,P000410,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203026Z
AC000304,XXXX4866,P000414,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.203032Z
AC000305,XXXX9371,P000422,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203037Z
AC000306,XXXX6639,P000428,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203042Z
AC000307,XXXX2132,P000432,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.203054Z
AC000308,XXXX8871,P000436,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.203059Z
AC000309,XXXX5694,P000438,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.203063Z
AC000310,XXXX5655,P000443,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203069Z
AC000311,XXXX1433,P000445,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.203073Z
AC000312,XXXX1892,P000447,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203079Z
AC000313,XXXX1140,P000450,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.203083Z
AC000314,XXXX4931,P000451,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.203092Z
AC000315,XXXX8518,P000463,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.203098Z
AC000316,XXXX1248,P000473,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.203104Z
AC000317,XXXX1608,P000475,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203108Z
AC000318,XXXX3137,P000476,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.203114Z
AC000319,XXXX3972,P000479,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203118Z
AC000320,XXXX6751,P000484,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203123Z
AC000321,XXXX5822,P000486,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.203126Z
AC000322,XXXX2592,P000487,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.203131Z
AC000323,XXXX8001,P000489,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.203135Z
AC000324,XXXX6262,P000492,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.203140Z
AC000325,XXXX2543,P000497,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.203145Z
AC000326,XXXX9781,P000504,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.203149Z
AC000327,XXXX7825,P000509,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.203154Z
AC000328,XXXX1942,P000514,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.203158Z
AC000329,XXXX7274,P000515,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.203162Z
AC000330,XXXX5895,P000517,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203166Z
AC000331,XXXX9391,P000519,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203170Z
AC000332,XXXX9510,P000525,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203177Z
AC000333,XXXX8862,P000527,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203182Z
AC000334,XXXX6421,P000529,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.203186Z
AC000335,XXXX7512,P000531,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.203191Z
AC000336,XXXX5634,P000534,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203195Z
AC000337,XXXX4865,P000535,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.203201Z
AC000338,XXXX6277,P000537,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.203205Z
AC000339,XXXX6082,P000539,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.203209Z
AC000340,XXXX9770,P000542,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.203213Z
AC000341,XXXX3290,P000544,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.203216Z
AC000342,XXXX4720,P000545,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203220Z
AC000343,XXXX3624,P000550,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.203225Z
AC000344,XXXX2167,P000551,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.203230Z
AC000345,XXXX6432,P000555,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203234Z
AC000346,XXXX4178,P000558,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.203239Z
AC000347,XXXX9564,P000559,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.203243Z
AC000348,XXXX2587,P000560,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.203246Z
AC000349,XXXX3398,P000568,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.203252Z
AC000350,XXXX7577,P000575,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.203257Z
AC000351,XXXX9615,P000576,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.203261Z
AC000352,XXXX4058,P000578,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.203265Z
AC000353,XXXX1775,P000583,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.203270Z
AC000354,XXXX1753,P000589,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.203275Z
AC000355,XXXX7328,P000591,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203280Z
AC000356,XXXX5903,P000592,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.203284Z
AC000357,XXXX1018,P000597,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203291Z
AC000358,XXXX3989,P000600,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203295Z
AC000359,XXXX4681,P000601,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.203299Z
AC000360,XXXX4252,P000605,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.203304Z
AC000361,XXXX1239,P000608,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.203308Z
AC000362,XXXX1628,P000612,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203313Z
AC000363,XXXX2416,P000618,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.203317Z
AC000364,XXXX2907,P000619,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.203321Z
AC000365,XXXX9390,,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203333Z
AC000366,XXXX7149,,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203339Z
AC000367,XXXX6193,,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.203345Z
AC000368,XXXX2777,,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203349Z
AC000369,XXXX6047,,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.203353Z
AC000370,XXXX8241,,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.203357Z
AC000371,XXXX4860,,Tamilnad Mercantile Bank,SYNTHETIC,2026-09-07T05:41:13.203361Z
AC000372,XXXX2602,,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.203365Z
AC000373,XXXX8575,,City Union Bank,SYNTHETIC,2026-09-07T05:41:13.203368Z
AC000374,XXXX7267,,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.203372Z
AC000375,XXXX8378,,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203376Z
AC000376,XXXX4127,,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203381Z
AC000377,XXXX7803,,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203385Z
AC000378,XXXX6173,,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.203391Z
AC000379,XXXX3566,,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.203395Z
AC000380,XXXX5426,,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.203399Z
AC000381,XXXX4928,,Indian Overseas Bank,SYNTHETIC,2026-09-07T05:41:13.203403Z
AC000382,XXXX1251,,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.203406Z
AC000383,XXXX3423,,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203410Z
AC000384,XXXX5679,,Federal Bank,SYNTHETIC,2026-09-07T05:41:13.203414Z
AC000385,XXXX7829,,ICICI Bank,SYNTHETIC,2026-09-07T05:41:13.203418Z
AC000386,XXXX1970,,HDFC Bank,SYNTHETIC,2026-09-07T05:41:13.203421Z
AC000387,XXXX3547,,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.203425Z
AC000388,XXXX1153,,Kotak Mahindra Bank,SYNTHETIC,2026-09-07T05:41:13.203429Z
AC000389,XXXX8747,,Canara Bank,SYNTHETIC,2026-09-07T05:41:13.203436Z
AC000390,XXXX5463,,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203441Z
AC000391,XXXX2078,,Axis Bank,SYNTHETIC,2026-09-07T05:41:13.203444Z
AC000392,XXXX7788,P000627,State Bank of India,SYNTHETIC,2026-09-07T05:41:13.219452Z
